Web;Navegador;Latencia_Media;Latencia_Desv;Latencia_Min;Latencia_Max;TTL_Moda;TTL_Media
qq.com;EDGE;57587.53982300885;57113.74654113418;959;215323;48;53.91150442477876
qq.com;FIREFOX;57542.491228070176;54128.8628866576;987;157958;48;49.01754385964912
roblox.com;CHROME;6565.159340659341;7637.7516058886595;689;48792;117;104.20879120879121
roblox.com;EDGE;8714.243421052632;10016.175049512312;668;63277;51;89.23684210526316
roblox.com;FIREFOX;7391.696335078534;9181.082727224735;657;77876;54;82.41884816753927
rubiconproject.com;CHROME;7858.83908045977;11401.343533925268;666;70629;53;110.54022988505747
rubiconproject.com;EDGE;10582.100628930817;10700.07761074123;698;70509;53;86.25786163522012
rubiconproject.com;FIREFOX;8311.011695906433;11543.824073293761;719;72990;53;81.62573099415205
samsung.com;CHROME;7328.438297872341;17845.034395851555;682;122923;51;104.39574468085107
samsung.com;EDGE;8229.010256410256;17311.638659056807;670;122603;51;88.26153846153846
samsung.com;FIREFOX;6539.492385786802;17796.556999226774;681;126118;54;96.30964467005076
sentry.io;CHROME;4279.7625;5028.829575479155;700;16528;117;108.375
sentry.io;EDGE;7069.11038961039;5998.832468717097;700;26158;117;83.9090909090909
sentry.io;FIREFOX;2908.985401459854;4678.7606626136185;775;17140;54;91.10218978102189
sharepoint.com;CHROME;12179.222222222223;26117.774938847153;730;129425;117;91.77777777777777
sharepoint.com;EDGE;16761.79661016949;28477.620382461286;698;134067;43;57.220338983050844
sharepoint.com;FIREFOX;9310.701357466063;19738.834015058845;692;133185;54;79.04524886877829
skype.com;CHROME;12105.082872928177;21290.357990539203;680;151337;117;95.48618784530387
skype.com;EDGE;14603.719512195123;19094.901653264355;705;128297;43;74.28658536585365
skype.com;FIREFOX;10811.76582278481;17536.580416817655;731;129553;54;75.70886075949367
snapchat.com;CHROME;4897.316326530612;5840.807493596794;685;20535;118;139.6326530612245
snapchat.com;EDGE;7712.407407407408;6147.552221693549;768;21452;243;111.5925925925926
snapchat.com;FIREFOX;4246.944;8465.10203461932;801;55900;54;108.776
spotify.com;CHROME;3406.040133779264;8946.843705669946;662;130976;117;90.93645484949833
spotify.com;EDGE;3965.45;6816.21442009099;658;66749;54;80.8576923076923
spotify.com;FIREFOX;2653.0302114803626;4261.192052486652;651;17147;54;82.6344410876133
steamserver.net;CHROME;3994.4545454545455;4448.19990947931;702;13436;117;105.5
steamserver.net;EDGE;12793.645569620254;13040.432151323877;701;75809;43;60.11392405063291
steamserver.net;FIREFOX;2816.3424657534247;5100.404292850983;889;18239;54;65.28767123287672
taboola.com;CHROME;5905.987341772152;7849.903686379362;698;52821;117;107.36708860759494
taboola.com;EDGE;7376.571428571428;7637.655236811455;677;44878;54;92.33469387755102
taboola.com;FIREFOX;4686.8865546218485;6817.102737830105;700;44023;54;95.68067226890756
